WKT,nombre,descripción
"POINT (-76.9301981 -12.0007774)",Botica Myn Farma,ES04 - Huachipa/Jicamarca - x - x - Subiendo a Pasamayo Jicamarca
"POINT (-77.007057 -12.0095371)",Servicios Dentales del Peru,IN02 - SJL/Bajo - x - Drogueria Cadena Farm - Club Metropolitano Wiracocha/Flores de Primavera
"POINT (-77.0017205 -11.9645088)",Botica Mi Esperanza,ES03 - SJL/Medio - x - x - Arriba del mercado Valle Sagrado
"POINT (-77.0092366 -11.9650099)",Botica Orion,ES03 - SJL - x - Inversiones Chirri’s E.I.R.L. - 
"POINT (-77.0052309 -11.9513451)",Botica FarmaCentro,ES03 - SJL/Arriba - x - x - 
"POINT (-76.9777904 -11.9464642)",Botica MultiMedic - Corp. Jum Piom,ES03 - SJL/Arriba - x - x - No entrar por Central/ todo izquierda o de frente después de pasar Fernando Wiesse
"POINT (-76.9620431 -11.8996346)",Botica Neo Pharma,ES03 - SJL - x - x - Cerca a Pasamayo
"POINT (-77.0090273 -11.9131094)",Botica Vitali,ES03 - Comas - x - x - Collique cerca a Pasamayo
"POINT (-77.0175269 -12.2056717)",Botica Grace,SU03 - Chorrillos - x - x - Urb Los Cedros de Villa
"POINT (-76.9780034 -12.1667057)",Trebol Farma,DSU01 - SJM - x - x - Se puede dejar por Pedro Miotta
"POINT (-76.969132 -12.1646362)",Farmacia San Martin de Porras,DSU01 - SJM - x - x - Frente a Dominos Pizza
"POINT (-76.9458967 -12.1757953)",Botica Narek,SU02 - SJM/VMT - x - x - En la misma Pachacutec estacionar
"POINT (-76.9350255 -12.2159553)",Botica MyaFarma,SU03 - VES - x - x - Cruce Revolución con Bolivar
"POINT (-76.9063017 -12.2103097)",Botica MyaFarma,ES05 - VMT/Lurin - x - x - Avenida Lima/Cerca a Lurin
"POINT (-76.9097031 -12.2361134)",Botica Valent's,SU05 - VES/Lurin - x - x - Posta Medica Villa Alejandro
"POINT (-77.0040833 -12.143819)",Botica Salud Farma,SU03 - Surco - x - x - Plaza de Armas de Surco
"POINT (-77.0163174 -12.1146749)",Farmacia MediSur,SU03 - Surquillo - x - x - 
"POINT (-77.0461998 -11.9158724)",Botica San Antonio,NR04 - Comas - x - x - Avenida Los Incas pasando Universitaria/Frente a Club Metropolitano Sinchi Rocca
"POINT (-77.1022582 -11.8420747)",Agencia Tunesa,AGNR04 - Zapallal/Puente Piedra/Carabayllo - x - Agencia Tunesa - Panamericana pasando Mercado 3 Regiones/Pasando entrada a cementerio
"POINT (-77.1336131 -11.8476934)",Botica Hogar Pharma,NR03 - Ventanilla/Pachacutec - x - x - Ovalo Labarthe/Por Av. 200 entrar en Av. Los Topógrafos
"POINT (-77.103448 -11.9868135)",Botica Señor de Muruhuay/KyM,NR01 - San Martín de Porres/Callao - x - x - Auxilliar Canta Callao antes de llegar a Izaguirre
"POINT (-77.0564261 -11.928684)",Bóricas Edith,NR04 - Comas - x - x - Retablo con Micaela/ Pasando esquina del lado dirección Trapiche
"POINT (-77.0307213 -11.9152151)",Botica F y C,NR04 - Comas/Collique - x - x - Antes de llegar a tráfico de las combis de abajo hacia arriba
"POINT (-77.0993368 -12.066865)",Distribuidores P y G,IN02 - San Miguel - x - x - Todo Elmer Faucett
"POINT (-77.1318255 -11.8141818)",Farmacia Farmamed,NR05 - Ancon/Villa Estela - x - x - Después de dar vuelta en U por la panamericana entrar a la curva derecha y entrar calle 29
"POINT (-77.072165 -11.8700836)",Botica PrisFarma,NR05 - Puente Piedra - x - x - Espalda Tottus Pte. Piedra
"POINT (-77.055172 -12.0018786)",Botica Dr. Lescano,NR01 - Independencia - x - x - Por la estación Jazmines/Entrar por túnel MegaPlaza
"POINT (-77.0911161 -11.9770013)",Botica NewFarma,NR01 - SMP/CantaCallao - x - x - Cerca a Canta Callao con Alisos
"POINT (-77.0504615 -11.9605275)",Botica Monica,NR04 - Comas/Independencia - x - x - Entrar por Maestro Peruano hasta 22 Agosto Puno
"POINT (-77.1323992 -11.9370517)",Botica MediFarma,NR03 - Ventanilla/SMP - x - x - En la vuelta en U de Gambetta entrar pegado a la derecha una bajada estrecha
"POINT (-77.0724737 -11.9391562)",Botica Medasalud,NR01 - Los Olivos - x - x - Se puede dejar por la panamericana también
"POINT (-77.0957056 -11.9324534)",Botica LyFarma,NR05 - Ensenada/San Diego - x - x - Pegado a la derecha voltear a la izquierda recién en Conquistadores
"POINT (-76.9695275 -11.9380566)",Consultorio Médico Camarena/Romero Coronación Nelson,SS03 - SJL - x - x - 
"POINT (-77.0035399 -11.9728836)",Botica MediFarma,ES03 - SJL - x - x - Ir por Polonia y doblar en Las Flores
"POINT (-76.8625216 -11.9183555)",Union Farma,IN02 - Ciudad Industrial/ - x - x - 
"POINT (-76.9631651 -12.0148593)",Botica AriFarma,ES03 - Campoy - x - x - 
"POINT (-76.9566875 -12.0067918)",Mendoza Chancasana Haydee,ES03 - Campoy - x - x - Cerro de Campoy/Zarco portal de Huarochiri Campoy
"POINT (-77.023084 -12.0513779)",Botica Herval,CE02 - Barrios Altos - x - x - Buscar cochera por Huanta o Cuzco
"POINT (-77.0243853 -12.0535527)",Cochera/Capon Center,Capon Center - Jr Cusco
"POINT (-77.0135058 -12.0553934)",Botica SamyFarma,CE02 - 
"POINT (-77.0708014 -11.9181691)",Brito Casimiro Natalia Fiorella,NR04 - Comas/Pro Lima - x - x - 
"POINT (-77.0670495 -11.9023279)",Botica Family Group CV,NR05 - Puente Piedra - x - x - 
"POINT (-77.1097674 -11.8434754)",Botica Thiago,NR05 - Zapallal - x - x - 
"POINT (-77.079227 -11.8632699)",Botica San Pedro,NR05 - Puente Piedra - x - x - 
"POINT (-77.0232859 -12.0535648)",Distribuidora Charo,IN02 - La Victoria/Barrios Altos - x - Distribuidora Charo EIRL - Tráfico en Huanta/Alquilar cochera
"POINT (-77.051658 -12.063602)",Botica Maryuri,CE02 - Breña - x - Rurush Cacha Marianella - 
"POINT (-77.0142458 -12.0456544)",Corporación Ganajur,IN02 - La Victoria/Barrios Altos - x - Corporación Ganajur SAC - Entrar por Linea Amarilla Zarumilla
"POINT (-77.0878277 -12.0284015)",Inversiones Bienestar Zeng,IN02 - Callao/CDL/SMP - x - Inversiones Bienestar Zeng SAC - Cruce Avenida Lima con 12 de Octubre
"POINT (-76.9998675 -12.0467349)",Botica Los Claveles,CE02 - El Agustino - x - x - Cruce de Los Claveles con Riva Agüero
"POINT (-77.0127824 -12.0693577)",Botica 1,CE02 - La Victoria/Gamarra - x - x - Por Parinacochas luego jr Italia
"POINT (-77.0276309 -12.0627952)",Botica Pacific Farma,CE02 - La Victoria - x - x - Cruce 28 de Julio con Luna Pizarro
"POINT (-77.0862888 -11.920179)",Botica GianiFarma,NR05 - Ensenada/Pro Lima/Ladera Chillon - x - Gianifarma EIRL - Ir por Panamericana y bajar por primera rotonda.
"POINT (-77.0826932 -11.9233749)",Botica Nueva Vida,NR05 - Ensenada/Pro Lima/Ladera Chillon - x - Ramirez Loayza Climaco - Ir por Panamericana y bajar en la primera rotonda
"POINT (-77.0722351 -11.9500383)",Botica Santa Cruz,NR01 - Los Olivos - x - Corporación DHUY SAC - Entrar auxiliar panamericana por grifo Primax
"POINT (-77.0761863 -11.9541218)",Botica Vida & Salud,NR01 - Los Olivos - x - Vasquez Quintana Jorge Luis - 
"POINT (-77.0941169 -11.9623091)",Botica Vida y Salud,NR01 - SMP/Los Olivos - x - Salgado Rivas Ruben Eduardo - Urb. Vipol Naranjal/Óvalo Naranjal con Canta Callao seguir defrente dirección al mar
"POINT (-77.1137121 -11.9882951)",Botica Sin Nombre,NR03 - SMP/Callao - x - Fernandez Sosa Esthephanie Cinthya - Cruce de Bertello con Izaguirre
"POINT (-77.1185474 -12.0422117)",Botica Chinito,NR03 - Callao - x - Tafur Tuesta Nelita - Morales Duarez girar a la izquierda en Av. Sta. Rosa
"POINT (-77.1088184 -11.8745788)",Botica DVBA,NR03 - Ventanilla - x - x - Cerro Ventanilla que conecta con Pasamayo Santa Rosa Puente Piedra
"POINT (-77.0799574 -11.9522403)",Botica AbiFarma,NR01 - Los Olivos - x - Castro Gonzales Rosa Abigail - 
"POINT (-77.0578803 -11.9686336)",Botica Francisco,NR04 - Comas/Independencia - x - Ardiles Lazaro Venancio Felix - Tupac/Antes del Solidaridad Comas
"POINT (-77.0526146 -11.9447977)",Botica America,NR04 - Comas - x - Edufarma Peru SAC - 
"POINT (-77.0193731 -11.8648096)",Botica Liz Farma,NR04 - Carabayllo - x - Lachira Fabian Lizbeth Karina - Universitaria hasta llegar Manuel Prado y a la izquierda
"POINT (-77.0025598 -11.8511906)",Botica J&A Farma,NR04 - Carabayllo/Torre Blanca - x - Luque Anaya Nacy Soledad - Vuelta en U en el Óvalo Torre Blanca
"POINT (-77.0763812 -11.917333)",Botica Tessa,NR05 - Shangri La/Ensenada - x - Medico Garcia Nifa Sara - Por Cementerio 
"POINT (-77.0832801 -11.924004)",Botica Fe y Confianza,NR05 - Shangri La/Ensenada - x - Atequipa Llacchua - Bacilia - 
"POINT (-77.0937281 -11.9333755)",Botica Cayetano Heredia TFS,NR05 - Ensenada - x - Inversiones Hanny EIRL - Cerro Ensenada
"POINT (-77.0973719 -12.0093763)",Farmacia Diaz,NR03 - Callao - x - Perez Diaz Eliana Lizet - 
"POINT (-77.089728 -11.9520569)",Botica Más Farma Central,NR01 - Los Olivos/Canta Callao - x - x - Se factura con otro nombre
"POINT (-77.0878856 -11.9452109)",Botica BCFarma,NR01 - Los Olivos/San Diego - x - JCL Business Corporation SAC - Virgen de San Diego
"POINT (-77.0818167 -11.9365314)",Botica Azaña,NR01 - Los Olivos/San Diego - x - Cordova Azaña Maribel Edilberta - Puente Ensenada dirección BCP
"POINT (-77.0785398 -11.9265478)",Botica NeoFarma,NR05 - Chillon/Puente Piedra - x - Yulkyzo SAC - Lado derecho río Chillon
"POINT (-77.0817018 -11.8586692)",Botica CamoFarma,NR05 - Puente Piedra - x - Castillo Quijano Nelhuar Clinton - Pasando Mercado Huamantanga entrar a auxiliar
"POINT (-77.1405416 -11.8526285)",Botica Virgen del Carmen,NR03 - Ventanilla - x - Guarnizo Barrazueta Yobany
"POINT (-77.1161102 -11.9838155)",Botica Fabricio S&A,NR03 - Callao/SMP - x - Silva Torres Isabel Susan - 
"POINT (-77.1029524 -11.9733855)",Botica Los Angeles,NR0 - Callao/SMP - x - Inversiones Semmas EIRL - Al costado de GoodPharma
"POINT (-77.0982114 -12.0233297)",Botica M&S,NR03 - Callao/SMP - x - Boticas M&S SAC
"POINT (-77.0901608 -12.0401095)",Botica de A Sol Gimena/Jimena,NR03 - Callao - x - Fernandez Ore Maximo Rene - 
"POINT (-77.0472402 -12.0346296)",Botica ,NR01 - Zarumilla - x - 
"POINT (-77.0670234 -11.8904218)",Botica MiFarmedic,NR05 - Puente Piedra - x - Mallco Huarcaya Edwin
"POINT (-77.0893888 -11.8539097)",Botica BTL Farma,NR05 - Zapallal - x - x - 
"POINT (-77.1014021 -11.8427475)",Botica InkaLider,NR05 - Zapallal
"POINT (-77.0997599 -11.8464473)",Botica Bethel,NR05 - Zapallal - x - x
"POINT (-77.1130316 -11.8331948)",Botica A&G,NR05 - Zapallal - x - x - 
"POINT (-77.156166 -11.7856421)",Botica YaruFarma,NR05 - Ancon - x - x - 
"POINT (-77.1252822 -11.857642)",Botica SebasFarma,NR03 - x - x - 
"POINT (-77.1024514 -11.9639389)",Botica TuFarma,NR01 - SMP/Callao - x - x 
"POINT (-77.0917445 -11.9652098)",Botica Buena Salud,NR01 - SMP/Callao - x - x -
"POINT (-77.0171051 -11.8757611)",Botica FarmaProgreso,NR04 - Carabayllo - x - x - 
"POINT (-77.0769151 -11.8428032)",Botica El Amigo,NR04 - Carabayllo- x - x - 
"POINT (-77.0362514 -11.8549563)",Botica Sin Nombre,NR04 - Carabayllo - x - Albujar Fernandez Evelyn Carol
"POINT (-77.0687074 -11.8901729)",Botica Vida y Farma,NR05 - Puente Piedra/Establo - x - x - 
"POINT (-77.1096071 -12.0448593)",Botica Cruz Roja 3,NR03 - Callao
"POINT (-77.0173081 -11.8754365)",Botica Sin Nombre,NR04 - Carabayllo - x - Tejada Rodriguez José Luis
"POINT (-77.0191468 -11.8641183)",Botica El Paraíso/MilanFarma,NR04 - Carabayllo - x - Ramirez Quintana Deysi Esmeralda - 
"POINT (-77.0776226 -11.9229036)",Botica Sin Nombre,NR05 - Pro Lima - x - Cama Flores Marisol Xiomara - 
"POINT (-77.1019344 -11.9634784)",Botica Nueva Salud,NR01 - SMP - x - Consorcio Ramms SRL - 
"POINT (-77.0914138 -11.965272)",Botica Nueva Salud,NR01 - SMP - x - 
"POINT (-77.1101491 -12.001234)",Botica Bethel,NR01 - Callao - x - 
"POINT (-76.7160609 -11.9351366)",Botica Farmenza,ES04 - Chosica - x - Mendoza Sanchez Henry Raul - 
"POINT (-76.9398943 -11.9729721)",Botica Sanidad,ES04 - Lurigancho/Jicamarca - x - Lozano Ricaldi Jessica Yudith - 
"POINT (-76.9417849 -11.9776921)",Botica Primero mi salud,ES04 - Lurigancho/Jicamarca - x - Bonifacio Najera Edwer Victor - 
"POINT (-76.9066435 -11.9801523)",Botica J & M Farma,ES04 - Lurigancho/Cajamarquilla - x - Antiporta Carhuamaca Erica Maricela - 
"POINT (-76.9910372 -12.0242405)",Empresa Corporación,IN02 - SJL - x - x - 
"POINT (-77.1446861 -11.7357143)",Botica Corazón Andino,NR05 - Ancon - x - Policlinico Corazón Andino - Doblar izquierda antes de peaje
"POINT (-76.9606997 -11.9225362)",Botica Sana Sana,ES03 - SJL - x - Zamora Gutierrez Vilma - Cerro de SJL
"POINT (-76.8402342 -12.0115727)",Botica Farma Alvinos,ES04 - Ate - x - Carhuaricra Alvino Mary Luz - Entrar en Horacio Zevallos y de frente.
"POINT (-76.8754093 -12.0183997)",Botica Farma Salud,ES04 - Ate/Santa Clara - x - x - 
"POINT (-76.8900608 -12.026155)",Grupo Farma,IN02 - Ate/Santa Clara - x - Droguería Distribuidora Grupo Farma S.A.C. - Edificio blanco frente a Ferretería Esmeralda
"POINT (-77.0285862 -11.9436766)",Botica J&A,NR04 - Comas/Belaunde - x - Paulino Medrano Esther Elizabeth - Cementerio Belaunde
"POINT (-77.0662566 -11.8883004)",Botica Linka Plus,NR05 - PP - x - Quispe Marin Ryder - Escuela policías/auxiliar y entrar en puquial 
"POINT (-77.1441265 -11.8322735)",Botica Junior,NR03 - Ventanilla/Pachacutec - x - Vasquez Quintana Junior Renato - 
"POINT (-77.1273087 -11.8436848)",Botica Famy Salud,NR03 - Ventanilla - x - x - 
"POINT (-77.1186977 -11.8300802)",Botica GissFarma,NR03 - Ventanilla - x - Bances Chapoñan Erika Aracely - Fachada Pro Farma
"POINT (-77.1153839 -11.9747426)",Botica Señor de Mayo,NR03 - Callao/Ventanilla - x - 
"POINT (-77.0800873 -11.9490388)",Botica NorFarma,NR01 - Los Olivos - x - Grupo Josmil SAC - Antes de Huandoy viniendo por Canta Callao
"POINT (-77.0253582 -11.8912918)",Botica FarmaUnidas,NR04 - Carabayllo/Comas - x - Cuadros Oriondo Ruth Liliana - 
"POINT (-77.0709865 -11.8561803)",Casa Cliente Perez Linares Maria Elita,NR05 - PP - x - Perez Linares Maria Elita - 
"POINT (-77.0687875 -11.8547684)",Botica Super Farma,NR05 - PP - x - Tolentino Alegre Ines Jessica - 
"POINT (-77.1409705 -11.8523001)",Botica InkaMedi,NR03 - Ventanilla/Pachacutec - x - Inversiones MasterFarm S.A.C. - Tiene nombre Botica Mi Salud
"POINT (-77.1588334 -11.8346375)",Botica Sin Nombre,NR03 - Ventanilla/Pachacutec - x - Miranda Palpaso Darleen Odaliz - Fachada Botica FarmaMarket
"POINT (-77.1006996 -11.8497858)",Botica NilFarma,NR05 - PP - x - x - 
"POINT (-77.0946737 -11.8490722)",Botica FarmaNorte,NR05 - PP - x - Valenzuela Dominguez Kipler - 
"POINT (-77.0699301 -11.8815648)",Botica Unidas Por Su Salud,NR05 - PP/Rosa Luz - x - Nuñez Segura Nelva - 
"POINT (-77.060575 -11.9551803)",Botica Olicon,NR04 - Comas - x - Olivares Condor Daniel - 
"POINT (-77.0499938 -11.9458294)",Botica Vida & Farma,NR04 - Comas - x - Medicamentos Vida Saludable S.A.C. - 
"POINT (-77.0511804 -12.0674959)",Botica Cadena de Farmacias Salud Total,CE02 - Breña - x - Llallico Tovar Zeida Zulema - 
"POINT (-77.0125059 -12.0621348)",Botica La Santísima Maria,CE02 - La Victoria - x - COMERCIAL LA SANTÍSIMA MARÍA S.R.L. - 
"POINT (-76.9976453 -12.0410565)",Botica KamiFarma,CE02 - El Agustino - x - Garcilazo Pingo de Pizarro Miriam Magdelin - 
"POINT (-76.9990792 -12.0306789)",Botica Cristo Rey,CE02 - El Agustino - x - x - 
"POINT (-76.9858563 -12.044377)",Botica Farma Salud,DES01 - El Agustino - x - Fernandez Llamo Jose Elder - 
"POINT (-77.0001736 -12.0451991)",Botica Pharmed,CE02 - El Agustino - x - Cuellar Macavilca Yhojan Eliseo - 
"POINT (-77.049414 -12.0376598)",Botica Emanuel,CE02 - Cercado de Lima - x - Ticse Surichaqui Edwin - 
"POINT (-76.9662863 -11.9114656)",Farmacia San Pedro,ES03 - SJL - x - Avila Medina Yesy
"POINT (-76.9602719 -11.9258234)",Botica Roman,ES03 - SJL - x - x - 
"POINT (-76.9485522 -11.9124401)",Botica Raul,ES03 - SJL - x - Silvestre Inocente Maria Lisett - Está dentro del grifo “Jicamarca”
"POINT (-76.9964384 -11.9415035)",Botica K&J,ES03 - SJL - x - Flores Zavaleta Alfonso Francisco - 
"POINT (-76.9963916 -11.9394745)",Botica Velasquez,ES03 - SJL - x - Velasquez Eusebio Tomas - 
"POINT (-76.9684528 -11.9647411)",Botica RossFarma,ES03 - SJL - x - x - 
"POINT (-76.9684692 -11.9646601)",Botica Sin Nombre,ES03 - SJL - x - Torres Chavarria Adrian - Fachada “Arats Farma”
"POINT (-77.019179 -11.9767569)",Botica Biosana,ES03 - SJL - x - x - 
"POINT (-77.002942 -11.9897482)",Botica Tu Farma,ES03 - SJL - x - Inversiones Rio Mantaro E.I.R.L. - 
"POINT (-77.003968 -11.9881726)",Botica C Farma,ES03 - SJL - x - Inga Poma Janet Erica - 
"POINT (-77.0098068 -11.9955767)",Policlinico Tucuman,ES03 - SJL - x - Tucuman E.I.R.L. - 
"POINT (-77.0003449 -11.997486)",Botica R&G,ES03 - SJL - x - Rodriguez Gariza Elman - 
"POINT (-77.0157137 -11.9963853)",Botica MV Farma,ES03 - SJL - x - Castañeda Teves Maria Julia - 
"POINT (-76.991777 -12.0034208)",Botica Inka Salud,ES03 - SJL - x - x - 
"POINT (-76.9971616 -12.0072418)",Botica Jamely,ES03 - SJL - x - Jhopac Multiservicios E.I.R.L. - 
"POINT (-76.9908021 -12.0070445)",Farmacia Imperio,ES03 - SJL - x - Farma Imperio S.A.C. - 
"POINT (-77.0046321 -12.026662)",Botica Sin Nombre,ES03 - SJL - x - Gonzales Espinoza Herlinda Hilda - 
"POINT (-77.0795335 -11.8569098)",Botica San Martin,NR05 - PP - c10430866643 - Villanueva Martinez Mercedes Natali - Salida 31 Panamericana Sur a Norte
"POINT (-77.0740395 -11.8643087)",Botica Alpamayo Farma,NR05 - PP - 06099973 - Boticas Alpamayo Farma E.I.R.L. - 
"POINT (-77.1004997 -11.8434957)",Botica Edy Farma,NR05 - PP - 99105392 - Guerrero Avila Melva - 
"POINT (-77.1475957 -11.7435926)",Botica Inversiones Marin Farma,NR05 - Ancon - c10726739965 - Marin Arroyo Luis Enrique - Voltear izquierda peaje Ancon
"POINT (-77.1218811 -11.8518606)",Botica B&M,NR03 - Ventanilla/Mi Peru - 9901010309 - Salinas Quiñones Jheni - 
"POINT (-77.1134134 -11.9435907)",Botica MinkaFarm Salud,NR03 - Ventanilla/Callao - 20611160 - Farmacia Minkafarm Salud E.I.R.L.
"POINT (-77.1158248 -11.9862377)",Botica La Esperanza,NR03 - Callao - 19906000 - Neyra Neira Margarita Rosario - 
"POINT (-77.1057117 -11.9807619)",Botica Sin Nombre,NR01 - Los Olivos - c10761315931 - Valdera Santisteban Liliana Maribel - Botica Unifarma
"POINT (-77.100388 -11.9834458)",Botica Sin Nombre,NR01 - Los Olivos - x - Sosa Espinoza Romy Martha - Botica Leo’s Vital
"POINT (-77.1047849 -11.9944076)",Botica Master Botikas,NR01 - SMP - 09907856 - Cervantes Tadeo Deysi Guisela - 
"POINT (-77.1023865 -12.0083317)",Botica Perusalud,NR01 - Callao - 9901010508 - Boticas PeruSalud/ Boticas Cega E.I.R.L. - 
"POINT (-77.1090069 -12.0628225)",Farmacia Q. F. Bio & Salud,NR03 - Callao - 10257669 - Pajuelo Lopez Jaime Enrique - 
"POINT (-77.0899862 -11.9669315)",Farmacia Sagrado Corazón de Jesus,NR01 - SMP - 0199043 - Idrogo Vasquez Elmer- 
"POINT (-77.0951283 -11.9668378)",Botica Nicol - Borrar,NR04 - SMP - 04176365 - Erolito Poma Noemi Graciela - 
"POINT (-77.0970115 -11.9594377)",Botica Max Farma,NR01 - SMP - 19824528 - Cervantes Poma Maximo Alejandro - Por un Mercado en la misma Avenida Tantamayo
"POINT (-77.0887488 -11.9577845)",Botica Mailena,NR01 - SMP - 20608152 - Corporación Mailena S.A.C.
"POINT (-77.0800914 -11.9515224)",Botica Salud Es Vida,NR01 - Los Olivos - 9910165 - Choques Cervantes Carla - 
"POINT (-77.086331 -11.9475718)",Distribuidora Dimat,NR01 - Los Olivos - c20608474031 - Corporación Maticorena S.A.C. - 
"POINT (-77.0808171 -11.9482461)",Botica Internacional,NR01 - Los Olivos - x - x - 
"POINT (-76.9717581 -12.1514365)",Botica Inka & Salud,SU02 - SJM - 01440191 - Vargas Paico Fiorela Estela - 
"POINT (-76.9745136 -12.1574206)",Botica Farma Sur C & F,SU02 - SJM - 206105591 - Medical Representaciones Farma Sur S.A.C. - 
"POINT (-76.95466 -12.1314745)",Botica Familia Y Salud,SU02 - SJM/Pamplona - 990102852 - Rojas Pebe Nahomi Ruth - 
"POINT (-76.9547814 -12.1315369)",Botica Medina,SU02 - SJM/Pamplona - x - x - 
"POINT (-76.9697079 -12.1413375)",Botica SGS Farma,SU02 - SJM/Pamplona Baja - 20613204 - SGS-Farma E.I.R.L. - 
"POINT (-76.9588356 -12.1316985)",Botica Años,SU02 - SJM/Pamplona Medio - 01440101 - Rojas Pillaca de Cabana María Elena - 
"POINT (-76.9702133 -12.1513466)",Botica Remedic Farma,SU02 - SJM - 06103021 - Corporación Boticas Remedic Farma S.A.C. - 
"POINT (-76.9760654 -12.1887072)",Botica Glas Farma,SU02 - SJM - 01330028 - Huaman Samanez Aydee Gladys - 
"POINT (-76.9475493 -12.1773544)",Botica Farma Ruiz,SU02 - VMT - x - x - 
"POINT (-76.9225479 -12.1959052)",Botica Nicol Farma,SU02 - VMT - 06020029 - Inversiones Beym SAC - 
"POINT (-76.9227668 -12.1901381)",Botica Ely,SU02 - VMT - 01430225 - More Durand Elia Marisol - 
"POINT (-76.932416 -12.2185965)",Botica Isabella,SU02 - VES - 01280069 - Estrada Pita Luis Fernando - 
"POINT (-76.8505402 -12.2973911)",Botica El Pueblo,YS05 - Lurin - 01190043 - Borja Avalos Ketty Edtih - 
"POINT (-77.0080288 -12.1877831)",Botica Más Salud,SU03 - Chorrillos - 01080080 - Farmacenter Liz E.I.R.L. - 
"POINT (-76.9927227 -12.165122)",Botica Farmaceutical SDC,SU03 - Surco - x - x - 
"POINT (-76.9861829 -12.1526693)",Botica Liliana,SU03 - Surco - c10413258443 - Díaz Silva Elva Carina - 
